Range,SuccessRate
-inf to -40,10.602910602910603
-40 to -30,47.72727272727273
-30 to -20,26.797385620915033
-20 to -10,33.77777777777778
-10 to 0,85.61643835616438
0 to 10,75.93582887700535
10 to 20,69.4560669456067
20 to 30,39.90147783251231
30 to 40,19.823788546255507
40 to inf,1.1173184357541899
