sensor_name,frame_id,timestamp_sec,timestamp_nanosec,available,verified,object_label,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_x,linear_y,linear_z
Object_Sensor,0,79,183346312,True,False,2,16.820354461669922,-66.89061737060547,-0.5513512492179871,0.004017347004264593,0.0022609964944422245,0.6176503896713257,0.7864397168159485,0.008817967027425766,0.0,0.0
Object_Sensor,0,79,183346312,True,False,1,51.256019592285156,36.57585144042969,-0.9800657033920288,0.005234414711594582,-0.006610766984522343,-0.5255659818649292,-0.8507113456726074,0.18644878268241882,0.0,0.0
Object_Sensor,0,79,183346312,True,False,1,90.83502960205078,-1.3166592121124268,-0.7882049679756165,-0.0018481751903891563,0.0038459498900920153,-0.004340249113738537,0.9999817609786987,0.08763208985328674,0.0,0.0
Object_Sensor,0,79,183346312,True,False,1,69.76692962646484,59.63353729248047,-1.5724366903305054,0.015173826366662979,-0.0024927023332566023,0.857308030128479,-0.5145748257637024,0.17952068150043488,0.0,0.0
Object_Sensor,0,79,183346312,True,False,1,87.16255187988281,-11.963109970092773,-0.8467414975166321,-0.006040823180228472,0.013538286089897156,-0.9998859167098999,-0.002997951116412878,1.6979873180389404e-05,0.0,0.0
Object_Sensor,0,79,183346312,True,False,2,54.101463317871094,28.449281692504883,-0.940656840801239,0.010531582869589329,-0.0023495398927479982,0.8497055172920227,-0.5271477103233337,0.02815643511712551,0.0,0.0
Object_Sensor,0,79,183346312,True,False,1,76.95659637451172,-11.903779983520508,-0.7978554964065552,-0.002046762267127633,0.010887821204960346,-0.9999338984489441,-0.003182260086759925,1.7510465113446116e-05,0.0,0.0
Object_Sensor,0,79,183346312,True,False,2,-35.64772033691406,-4.389511585235596,0.218378946185112,-0.004620780237019062,0.004792210645973682,-0.9998405575752258,-0.016589844599366188,0.05738706514239311,0.0,0.0
Object_Sensor,0,79,183346312,True,False,7,-10.563093185424805,4.455264091491699,0.048393260687589645,-0.0019191221799701452,-0.007086083292961121,0.01660049706697464,-0.9998355507850647,0.9969901442527771,0.0,0.0
Object_Sensor,1,79,283346328,True,False,2,17.078102111816406,-65.8341064453125,-0.5497616529464722,0.003964502364397049,0.0021813595667481422,0.6176502108573914,0.7864401936531067,0.009401822462677956,0.0,0.0
Object_Sensor,1,79,283346328,True,False,1,51.877593994140625,37.817832946777344,-1.002103567123413,0.0056240614503622055,-0.006745967548340559,-0.5255610346794128,-0.8507108688354492,0.19384945929050446,0.0,0.0
Object_Sensor,1,79,283346328,True,False,1,92.22384643554688,-1.3287359476089478,-0.7991927862167358,-0.0019782609306275845,0.003552188165485859,-0.0043343366123735905,0.9999825954437256,0.09928418695926666,0.0,0.0
Object_Sensor,1,79,283346328,True,False,1,69.3560791015625,58.86233901977539,-1.5520098209381104,0.015107691287994385,-0.002540961839258671,0.8573583960533142,-0.5144925117492676,0.17263057827949524,0.0,0.0
Object_Sensor,1,79,283346328,True,False,1,87.16255187988281,-11.963109970092773,-0.8467451930046082,-0.006041180808097124,0.013538486324250698,-0.9998858571052551,-0.0029979622922837734,2.0310872059781104e-05,0.0,0.0
Object_Sensor,1,79,283346328,True,False,2,54.00442886352539,28.25370979309082,-0.937182605266571,0.010407181456685066,-0.002297454047948122,0.8498548269271851,-0.5269098877906799,0.03021661750972271,0.0,0.0
Object_Sensor,1,79,283346328,True,False,1,76.95659637451172,-11.903779983520508,-0.7978559136390686,-0.002046620938926935,0.010888036340475082,-0.9999338984489441,-0.003182318527251482,1.0475570888957009e-05,0.0,0.0
Object_Sensor,1,79,283346328,True,False,2,-36.75817108154297,-4.352698802947998,0.22854267060756683,-0.004744153469800949,0.004795764107257128,-0.9998401403427124,-0.01658014766871929,0.05635863170027733,0.0,0.0
Object_Sensor,1,79,283346328,True,False,7,-10.463041305541992,4.451910018920898,0.04757850989699364,-0.0019191221799701452,-0.007086083292961121,0.01660049706697464,-0.9998355507850647,1.0040740966796875,0.0,0.0
Object_Sensor,2,79,383346345,True,False,2,17.34295654296875,-64.74845886230469,-0.5480478405952454,0.003933509811758995,0.0021030898205935955,0.617650032043457,0.7864407300949097,0.010487501509487629,0.0,0.0
Object_Sensor,2,79,383346345,True,False,1,52.49919509887695,39.05978775024414,-1.0256437063217163,0.005964321084320545,-0.006578694563359022,-0.5255491733551025,-0.8507171273231506,0.20506517589092255,0.0,0.0
Object_Sensor,2,79,383346345,True,False,1,93.61266326904297,-1.3407313823699951,-0.8093140721321106,-0.0020425680559128523,0.003040415234863758,-0.004310875665396452,0.9999843239784241,0.11227038502693176,0.0,0.0
Object_Sensor,2,79,383346345,True,False,1,68.95317840576172,58.10641098022461,-1.5322577953338623,0.015009975992143154,-0.0026169558987021446,0.857399046421051,-0.514427125453949,0.16597779095172882,0.0,0.0
Object_Sensor,2,79,383346345,True,False,1,87.16255187988281,-11.963109970092773,-0.8467475771903992,-0.00604083901271224,0.013538927771151066,-0.9998859167098999,-0.0029979555401951075,4.915455065201968e-06,0.0,0.0
Object_Sensor,2,79,383346345,True,False,2,53.89841079711914,28.04026985168457,-0.9334648251533508,0.01030332874506712,-0.002247193595394492,0.850016713142395,-0.526650607585907,0.03192388266324997,0.0,0.0
Object_Sensor,2,79,383346345,True,False,1,76.95659637451172,-11.903779983520508,-0.7978557348251343,-0.002046387642621994,0.010887928307056427,-0.9999338984489441,-0.003182261483743787,6.740447133779526e-07,0.0,0.0
