Range,SuccessRate
-inf to -40,4.573804573804574
-40 to -30,25.77319587628866
-30 to -20,19.17808219178082
-20 to -10,17.647058823529413
-10 to 0,38.12154696132597
0 to 10,27.608695652173914
10 to 20,42.265795206971674
20 to 30,42.417582417582416
30 to 40,27.419354838709676
40 to inf,1.4591439688715953
