timestamp_sec,timestamp_nanosec,label,position_x,position_y,position_z,size_x,size_y,size_z,match_found
1614608554,200162048,Sedan,-8.519122124,0.025915459,-1.949554801,4.565526485,2.082421303,2.082421303,True
1614608554,300161792,Sedan,-8.357254982,0.009531543,-1.94413662,4.565526485,2.082421303,2.082421303,True
1614608554,400161792,Sedan,-8.278191566,-0.006002948,-1.940977931,4.565526485,2.082421303,2.082421303,True
1614608554,500161536,Sedan,-8.397702217,-0.017842203,-1.938843369,4.565526485,2.082421303,2.082421303,True
1614608554,600161536,Sedan,-8.415529251,-0.031512171,-1.950048089,4.565526485,2.082421303,2.082421303,True
1614608554,700161536,Sedan,-8.315783501,-0.047561631,-1.964571238,4.565526485,2.082421303,2.082421303,True
1614608554,800161280,Sedan,-8.310123444,-0.061143994,-1.97499764,4.565526485,2.082421303,2.082421303,True
1614608554,900161280,Sedan,-8.379466057,-0.07287389,-1.981304169,4.565526485,2.082421303,2.082421303,False
1614608555,161280,Sedan,-8.344797134,-0.087755919,-1.980147004,4.565526485,2.082421303,2.082421303,True
1614608555,100161024,Sedan,-8.284225464,-0.10556671,-1.966258764,4.565526485,2.082421303,2.082421303,True
1614608555,200161024,Sedan,-8.376420975,-0.121170208,-1.952614546,4.565526485,2.082421303,2.082421303,True
1614608555,300160768,Sedan,-8.419075966,-0.139334366,-1.943271041,4.565526485,2.082421303,2.082421303,True
1614608555,400160768,Sedan,-8.412984848,-0.159966022,-1.937895298,4.565526485,2.082421303,2.082421303,True
1614608555,500160768,Sedan,-8.361548424,-0.182919338,-1.935219526,4.565526485,2.082421303,2.082421303,True
1614608555,500160768,Sedan,-17.09106445,0.024048924,-1.873074532,4.565526485,2.082421303,2.082421303,False
1614608555,600160512,Sedan,-8.295641899,-0.207385078,-1.93399334,4.565526485,2.082421303,2.082421303,True
1614608555,600160512,Sedan,-17.8533535,0.01652211,-1.868930817,4.565526485,2.082421303,2.082421303,False
1614608555,700160512,Sedan,-8.347079277,-0.230242491,-1.932721496,4.565526485,2.082421303,2.082421303,True
1614608555,700160512,Sedan,-18.57141876,0.006178856,-1.865588903,4.565526485,2.082421303,2.082421303,True
1614608555,800160512,Sedan,-8.383138657,-0.254627109,-1.931841612,4.565526485,2.082421303,2.082421303,True
1614608555,800160512,Sedan,-19.25728416,-0.00666815,-1.861991286,4.565526485,2.082421303,2.082421303,True
1614608555,900160256,Sedan,-8.404456139,-0.280475348,-1.931183815,4.565526485,2.082421303,2.082421303,True
1614608555,900160256,Sedan,-19.90790558,-0.022052407,-1.858065486,4.565526485,2.082421303,2.082421303,True
1614608556,160256,Sedan,-8.413437843,-0.307676584,-1.930663586,4.565526485,2.082421303,2.082421303,True
1614608556,160256,Sedan,-20.52851868,-0.0398058,-1.85390389,4.565526485,2.082421303,2.082421303,True
1614608556,100160000,Sedan,50.22416306,1.904605031,-2.300765991,4.565526485,2.082421303,2.082421303,False
1614608556,100160000,Sedan,-8.413872719,-0.336088121,-1.930232644,4.565526485,2.082421303,2.082421303,True
1614608556,100160000,Sedan,-21.12482262,-0.059756726,-1.849629402,4.565526485,2.082421303,2.082421303,True
1614608556,200160000,Sedan,48.00144196,1.943463564,-2.287837267,4.565526485,2.082421303,2.082421303,False
