frame_id,timestamp_sec,timestamp_nanosec,longitudinal_velocity,lateral_velocity,heading_rate
base_link,106,383350770,11.423660278320312,-0.009553909301757812,-0.039116501808166504
base_link,106,416684109,11.406683921813965,-0.010711669921875,-0.047425564378499985
base_link,106,450017448,11.37427806854248,-0.06602191925048828,-0.05515938252210617
base_link,106,483350787,11.342307090759277,-0.07276105880737305,-0.0817803367972374
base_link,106,516684126,11.325469017028809,-0.05868959426879883,-0.0835699811577797
base_link,106,550017464,11.308305740356445,-0.004691600799560547,-0.03291666507720947
base_link,106,583350803,11.29042911529541,-0.011004447937011719,-0.02952912636101246
base_link,106,616684142,11.272687911987305,-0.01038217544555664,-0.02339320257306099
base_link,106,650017481,11.23853588104248,-0.04215431213378906,-0.029848705977201462
base_link,106,683350820,11.203729629516602,-0.053771018981933594,-0.043398864567279816
base_link,106,716684158,11.184524536132812,-0.015300273895263672,-0.06286124885082245
base_link,106,750017497,11.146799087524414,-0.060909271240234375,-0.051995549350976944
base_link,106,783350836,11.127239227294922,-0.06387662887573242,-0.0710105150938034
base_link,106,816684175,11.107266426086426,-0.047955989837646484,-0.032565128058195114
base_link,106,850017514,11.088088989257812,-0.00513458251953125,-0.022594254463911057
base_link,106,883350852,11.049933433532715,-0.04683399200439453,-0.03508980572223663
base_link,106,916684191,11.048372268676758,-0.01357889175415039,-0.05372127518057823
base_link,106,950017530,11.009259223937988,-0.04729652404785156,-0.009779125452041626
base_link,106,983350869,10.970009803771973,-0.06364011764526367,-0.05640574172139168
base_link,107,16684208,10.949609756469727,-0.016002655029296875,-0.07404652237892151
base_link,107,50017546,10.909231185913086,-0.0635676383972168,-0.05605420470237732
base_link,107,83350885,10.907876968383789,-0.016628742218017578,-0.07414239645004272
base_link,107,116684224,10.8864164352417,-0.05274009704589844,-0.013422329910099506
base_link,107,150017563,10.8853178024292,-0.006308555603027344,-0.021571600809693336
base_link,107,183350902,10.843450546264648,-0.05437803268432617,-0.0032916665077209473
base_link,107,216684240,10.841925621032715,-0.016817092895507812,-0.06324473768472672
base_link,107,250017579,10.79952621459961,-0.05147361755371094,-0.01179247535765171
base_link,107,283350918,10.777491569519043,-0.06513643264770508,-0.062286004424095154
base_link,107,316684257,10.75579833984375,-0.0045452117919921875,-0.0318620540201664
base_link,107,350017596,10.712098121643066,-0.06557464599609375,-0.049343038350343704
base_link,107,383350934,10.669090270996094,-0.0723581314086914,-0.0775938406586647
base_link,107,416684273,10.646923065185547,-0.07198810577392578,-0.08504004031419754
base_link,107,450017612,10.62505054473877,-0.00634765625,-0.037262946367263794
base_link,107,483350951,10.580403327941895,-0.06632661819458008,-0.04867192357778549
base_link,107,516684290,10.557134628295898,-0.020262718200683594,-0.07647531479597092
base_link,107,550017628,10.510283470153809,-0.0802311897277832,-0.06596115976572037
base_link,107,583350967,10.486823081970215,-0.02249622344970703,-0.08871520310640335
base_link,107,616684306,10.462146759033203,-0.02239227294921875,-0.07631552964448929
base_link,107,650017645,10.413939476013184,-0.09895849227905273,-0.07871237397193909
base_link,107,683350984,10.41252613067627,-0.028421878814697266,-0.11520832777023315
base_link,107,716684322,10.364448547363281,-0.0798797607421875,-0.021028315648436546
base_link,107,750017661,10.317527770996094,-0.09121322631835938,-0.09424392879009247
base_link,107,783351000,10.271096229553223,-0.08069849014282227,-0.09871803969144821
base_link,107,816684339,10.247617721557617,-0.021945953369140625,-0.08472046256065369
base_link,107,850017677,10.200462341308594,-0.06133079528808594,-0.052123378962278366
base_link,107,883351016,10.1769380569458,-0.06658267974853516,-0.06359627097845078
base_link,107,916684355,10.153505325317383,-0.01002359390258789,-0.030232200399041176
base_link,107,950017694,10.105040550231934,-0.0745859146118164,-0.05186771601438522
base_link,107,983351033,10.081148147583008,-0.021436691284179688,-0.07912782579660416
base_link,108,16684371,10.079447746276855,-0.020665645599365234,-0.07113835215568542
base_link,108,50017710,10.055771827697754,-0.005215167999267578,-0.013262540102005005
base_link,108,83351049,10.0270357131958,-0.11326789855957031,-0.07318365573883057
base_link,108,116684388,10.002972602844238,-0.008000373840332031,-0.05026981979608536
base_link,108,150017727,9.949275016784668,-0.12501144409179688,-0.0931893140077591
base_link,108,183351065,9.924513816833496,-0.12703728675842285,-0.1419251561164856
base_link,108,216684404,9.924544334411621,-0.00989389419555664,-0.06413955986499786
base_link,108,250017743,9.872817993164062,-0.08550810813903809,-0.009970872662961483
base_link,108,283351082,9.847551345825195,-0.08487176895141602,-0.09958089888095856
base_link,108,316684421,9.847808837890625,-0.01146554946899414,-0.04052264988422394
base_link,108,350017759,9.823076248168945,-0.008662700653076172,-0.006359627470374107
