frame_id,child_frame_id,timestamp_sec,timestamp_nanosec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
map,-,58,183342870,81379.0625,49918.10546875,43.02275848388672,0.0,0.0,0.0,0.0
map,-,58,383342903,81379.21875,49918.21484375,43.02540969848633,0.0,0.0,0.0,0.0
map,-,58,583342935,81379.3828125,49918.33203125,43.028255462646484,0.0,0.0,0.0,0.0
map,-,58,783342968,81379.5703125,49918.45703125,43.03109359741211,0.0,0.0,0.0,0.0
map,-,58,983343001,81379.7734375,49918.59375,43.03410720825195,0.0,0.0,0.0,0.0
map,-,59,183343034,81379.9921875,49918.7421875,43.036338806152344,0.0,0.0,0.0,0.0
map,-,59,383343067,81380.2265625,49918.90234375,43.03929138183594,0.0,0.0,0.0,0.0
map,-,59,583343099,81380.484375,49919.07421875,43.042572021484375,0.0,0.0,0.0,0.0
map,-,59,783343132,81380.7578125,49919.2578125,43.04594039916992,0.0,0.0,0.0,0.0
map,-,59,983343165,81381.0546875,49919.45703125,43.04948425292969,0.0,0.0,0.0,0.0
map,-,60,183343198,81381.3671875,49919.6640625,43.053199768066406,0.0,0.0,0.0,0.0
map,-,60,383343230,81381.6953125,49919.88671875,43.05534744262695,0.0,0.0,0.0,0.0
map,-,60,583343263,81382.046875,49920.12109375,43.058467864990234,0.0,0.0,0.0,0.0
map,-,60,783343296,81382.4140625,49920.36328125,43.06187057495117,0.0,0.0,0.0,0.0
map,-,60,983343329,81382.796875,49920.61328125,43.064727783203125,0.0,0.0,0.0,0.0
map,-,61,183343362,81383.1875,49920.875,43.068336486816406,0.0,0.0,0.0,0.0
map,-,61,383343394,81383.5859375,49921.13671875,43.0715217590332,0.0,0.0,0.0,0.0
map,-,61,583343427,81383.984375,49921.40234375,43.07392120361328,0.0,0.0,0.0,0.0
map,-,61,783343460,81384.390625,49921.6640625,43.07693862915039,0.0,0.0,0.0,0.0
map,-,61,983343493,81384.78125,49921.92578125,43.0809211730957,0.0,0.0,0.0,0.0
map,-,62,183343525,81385.1640625,49922.1796875,43.08428192138672,0.0,0.0,0.0,0.0
