Range,SuccessRate
-inf to -40,10.869565217391305
-40 to -30,16.0
-30 to -20,26.0
-20 to -10,100.0
-10 to 0,91.66666666666667
0 to 10,0.0
10 to 20,NA
20 to 30,NA
30 to 40,2.7777777777777777
40 to inf,0.0
