Range,SuccessRate
-inf to -40,2.5
-40 to -30,33.333333333333336
-30 to -20,88.88888888888889
-20 to -10,100.0
-10 to 0,97.82608695652173
0 to 10,95.38461538461539
10 to 20,1.8867924528301887
20 to 30,31.782945736434108
30 to 40,35.0
40 to inf,0.0
