frame_id,timestamp_sec,timestamp_nanosec,available,verified,object_label,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_x,linear_y,linear_z
0,85,883347410,True,False,7,-3.940629720687866,4.168745040893555,0.91357421875,0.0,0.0,-0.09549774535263325,0.9954296462495799,0.0,0.0,0.0
0,85,883347410,True,False,1,26.740619659423828,-31.085472106933594,0.474609375,0.0,0.0,-0.803293958954585,0.5955827528623285,0.0,0.0,0.0
0,85,883347410,True,False,0,16.059965133666992,-5.668055057525635,1.19842529296875,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,85,983347427,True,False,7,-3.743285894393921,4.131870269775391,1.0185546875,0.0,0.0,-0.08167823398075351,0.9966587510747023,0.0,0.0,0.0
1,85,983347427,True,False,1,26.761869430541992,-31.093128204345703,0.448486328125,0.0,0.0,-0.8003919977934855,0.5994769802654254,0.0,0.0,0.0
1,85,983347427,True,False,2,18.856557846069336,-5.9337544441223145,1.875,0.0,0.0,-0.9999848846816133,0.00549821864795138,0.0,0.0,0.0
2,86,83347443,True,False,7,-3.637817144393921,4.139682769775391,0.93798828125,0.0,0.0,-0.038244254051838386,0.9992684209120283,0.0,0.0,0.0
2,86,83347443,True,False,1,26.759368896484375,-31.067659378051758,0.45703125,0.0,0.0,-0.7984099008327626,0.6021142999898094,0.0,0.0,0.0
2,86,83347443,True,False,3,18.19390106201172,-5.923129558563232,1.693359375,0.0,-0.0,-0.9999508416860029,-0.00991535231115972,0.0,0.0,0.0
3,86,183347459,True,False,7,-3.5601608753204346,4.179369926452637,0.98779296875,0.0,0.0,-0.20380492604273615,0.9790115178692816,0.0,0.0,0.0
3,86,183347459,True,False,1,26.75249481201172,-31.057504653930664,0.44921875,0.0,0.0,-0.7969139694313102,0.6040928118470148,0.0,0.0,0.0
3,86,183347459,True,False,3,17.458744049072266,-5.644301414489746,1.61328125,0.0,-0.0,-0.9999813026958295,-0.006115084525326257,0.0,0.0,0.0
4,86,283347476,True,False,7,-3.4278171062469482,4.145463943481445,0.95458984375,0.0,0.0,-0.11065637038355602,0.9938587262249787,0.0,0.0,0.0
4,86,283347476,True,False,1,26.7343692779541,-31.112815856933594,0.49609375,0.0,0.0,-0.7933272117341255,0.6087954788943147,0.0,0.0,0.0
4,86,283347476,True,False,3,16.24201162223174,-5.918868336548929,1.41375732421875,0.0,0.0,0.9997970696336914,0.020144963437134636,0.0,0.0,0.0
5,86,383347492,True,False,7,-3.3900046348571777,4.18374490737915,0.89404296875,0.0,0.0,-0.03557536934641862,0.9993669962010282,0.0,0.0,0.0
