Range,SuccessRate
-inf to -40,2.032520325203252
-40 to -30,2.73972602739726
-30 to -20,2.247191011235955
-20 to -10,20.422535211267604
-10 to 0,60.317460317460316
0 to 10,42.96875
10 to 20,20.187793427230048
20 to 30,23.076923076923077
30 to 40,35.64356435643565
40 to inf,3.1481481481481484
