Range,SuccessRate
-inf to -40,4.12573673870334
-40 to -30,37.86407766990291
-30 to -20,7.377049180327869
-20 to -10,24.914675767918087
-10 to 0,57.608695652173914
0 to 10,33.20500481231954
10 to 20,21.359223300970875
20 to 30,26.30834512022631
30 to 40,21.454545454545453
40 to inf,1.6129032258064515
