frame_id,--,timestamp_sec,timestamp_nanosec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
map,child_frame_id,58,583342935,81378.0,49917.37109375,43.00335693359375,0.0,0.0,0.0,0.0
map,child_frame_id,58,783342968,81378.015625,49917.3828125,43.00347137451172,0.0,0.0,0.0,0.0
map,child_frame_id,58,983343001,81378.03125,49917.39453125,43.00365447998047,0.0,0.0,0.0,0.0
map,child_frame_id,59,183343034,81378.046875,49917.40625,43.004058837890625,0.0,0.0,0.0,0.0
map,child_frame_id,59,383343067,81378.0703125,49917.421875,43.00424575805664,0.0,0.0,0.0,0.0
map,child_frame_id,59,583343099,81378.09375,49917.44140625,43.004798889160156,0.0,0.0,0.0,0.0
map,child_frame_id,59,783343132,81378.1328125,49917.46484375,43.005374908447266,0.0,0.0,0.0,0.0
map,child_frame_id,59,983343165,81378.1796875,49917.49609375,43.006202697753906,0.0,0.0,0.0,0.0
map,child_frame_id,60,183343198,81378.234375,49917.53515625,43.00727844238281,0.0,0.0,0.0,0.0
map,child_frame_id,60,383343230,81378.3125,49917.58984375,43.0084114074707,0.0,0.0,0.0,0.0
map,child_frame_id,60,583343263,81378.3984375,49917.65234375,43.01041793823242,0.0,0.0,0.0,0.0
map,child_frame_id,60,783343296,81378.5078125,49917.72265625,43.01212692260742,0.0,0.0,0.0,0.0
map,child_frame_id,60,983343329,81378.6328125,49917.80859375,43.014583587646484,0.0,0.0,0.0,0.0
map,child_frame_id,61,183343362,81378.765625,49917.90234375,43.017269134521484,0.0,0.0,0.0,0.0
map,child_frame_id,61,383343394,81378.921875,49918.01171875,43.01969909667969,0.0,0.0,0.0,0.0
map,child_frame_id,61,583343427,81379.1015625,49918.13671875,43.023284912109375,0.0,0.0,0.0,0.0
map,child_frame_id,61,783343460,81379.296875,49918.26953125,43.02675247192383,0.0,0.0,0.0,0.0
map,child_frame_id,61,983343493,81379.5078125,49918.4140625,43.030296325683594,0.0,0.0,0.0,0.0
map,child_frame_id,62,183343525,81379.734375,49918.56640625,43.033668518066406,0.0,0.0,0.0,0.0
map,child_frame_id,62,383343558,81379.96875,49918.7265625,43.036041259765625,0.0,0.0,0.0,0.0
map,child_frame_id,62,583343591,81380.2265625,49918.8984375,43.03942108154297,0.0,0.0,0.0,0.0
map,child_frame_id,62,783343624,81380.5,49919.08203125,43.042701721191406,0.0,0.0,0.0,0.0
map,child_frame_id,62,983343657,81380.7890625,49919.27734375,43.04607009887695,0.0,0.0,0.0,0.0
map,child_frame_id,63,183343689,81381.1015625,49919.484375,43.05033874511719,0.0,0.0,0.0,0.0
map,child_frame_id,63,383343722,81381.4296875,49919.69921875,43.05369186401367,0.0,0.0,0.0,0.0
map,child_frame_id,63,583343755,81381.7734375,49919.9296875,43.055904388427734,0.0,0.0,0.0,0.0
map,child_frame_id,63,783343788,81382.125,49920.16796875,43.059356689453125,0.0,0.0,0.0,0.0
map,child_frame_id,63,983343821,81382.5,49920.4140625,43.06243896484375,0.0,0.0,0.0,0.0
map,child_frame_id,64,183343853,81382.8828125,49920.671875,43.065582275390625,0.0,0.0,0.0,0.0
map,child_frame_id,64,383343886,81383.2734375,49920.9296875,43.06925964355469,0.0,0.0,0.0,0.0
map,child_frame_id,64,583343919,81383.6640625,49921.19140625,43.0720100402832,0.0,0.0,0.0,0.0
map,child_frame_id,64,783343952,81384.0625,49921.44921875,43.07447052001953,0.0,0.0,0.0,0.0
map,child_frame_id,64,983343984,81384.453125,49921.70703125,43.07752990722656,0.0,0.0,0.0,0.0
map,child_frame_id,65,183344017,81384.84375,49921.96484375,43.08147430419922,0.0,0.0,0.0,0.0
map,child_frame_id,65,383344050,81385.2109375,49922.2109375,43.08469772338867,0.0,0.0,0.0,0.0
map,child_frame_id,65,583344083,81385.578125,49922.44921875,43.08806228637695,0.0,0.0,0.0,0.0
map,child_frame_id,65,783344116,81385.9140625,49922.66796875,43.091976165771484,0.0,0.0,0.0,0.0
map,child_frame_id,65,983344148,81386.234375,49922.875,43.093013763427734,0.0,0.0,0.0,0.0
map,child_frame_id,66,183344181,81386.546875,49923.0703125,43.09348678588867,0.0,0.0,0.0,0.0
map,child_frame_id,66,383344214,81386.8359375,49923.26171875,43.09619903564453,0.0,0.0,0.0,0.0
map,child_frame_id,66,583344247,81387.109375,49923.44140625,43.09971237182617,0.0,0.0,0.0,0.0
map,child_frame_id,66,783344279,81387.34375,49923.59375,43.102291107177734,0.0,0.0,0.0,0.0
map,child_frame_id,66,983344312,81387.5546875,49923.7265625,43.103336334228516,0.0,0.0,0.0,0.0
map,child_frame_id,67,183344345,81387.7421875,49923.84765625,43.104522705078125,0.0,0.0,0.0,0.0
map,child_frame_id,67,383344378,81387.921875,49923.9609375,43.10597610473633,0.0,0.0,0.0,0.0
map,child_frame_id,67,583344411,81388.0859375,49924.0703125,43.10760498046875,0.0,0.0,0.0,0.0
map,child_frame_id,67,783344443,81388.234375,49924.1640625,43.11016082763672,0.0,0.0,0.0,0.0
map,child_frame_id,67,983344476,81388.34375,49924.234375,43.11006546020508,0.0,0.0,0.0,0.0
map,child_frame_id,68,183344509,81388.40625,49924.27734375,43.109928131103516,0.0,0.0,0.0,0.0
map,child_frame_id,68,383344542,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,68,583344575,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,68,783344607,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,68,983344640,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,69,183344673,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,69,383344706,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,69,583344738,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,69,783344771,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,69,983344804,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,70,183344837,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,70,383344870,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,70,583344902,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,70,783344935,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,70,983344968,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,71,183345001,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,71,383345033,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,71,583345066,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,71,783345099,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,71,983345132,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,72,183345165,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,72,383345197,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,72,583345230,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,72,783345263,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,72,983345296,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,73,183345329,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,73,383345361,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,73,583345394,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,73,783345427,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,73,983345460,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,74,183345492,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,74,383345525,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,74,583345558,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,74,783345591,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,74,983345624,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,75,183345656,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,75,383345689,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,75,583345722,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,75,783345755,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,75,983345787,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,76,183345820,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,76,383345853,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,76,583345886,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,76,783345919,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,76,983345951,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,77,183345984,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,77,383346017,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,77,583346050,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,77,783346083,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,77,983346115,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,78,183346148,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,78,383346181,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,78,583346214,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,78,783346246,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,78,983346279,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,79,183346312,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,79,383346345,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,79,583346378,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,79,783346410,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,79,983346443,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,80,183346476,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,80,383346509,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,80,583346541,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,80,783346574,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,80,983346607,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,81,183346640,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,81,383346673,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,81,583346705,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
map,child_frame_id,81,783346738,81388.421875,49924.28515625,43.10932922363281,0.0,0.0,0.0,0.0
